B0 type_load {'B': 11, 'C': 11, 'A': 10} sorties 32
CHECKPOINT P0001 COMMON_RAW_DATA_B0 0.754469189 {'J_late': 65501.00549024007, 'J_norm': 0.5125647900904743, 'makespan': 10570.82377657593, 'energy': 85.66393821918167, 'sorties': 32, 'source': 'P0001', 'global_optimum_proven': False}
SOLVED R0009 {'J_late': 0.0, 'J_norm': np.float64(0.47707963680988624), 'makespan': 6396.934739044012, 'energy': 67.3896197830287, 'sorties': 25, 'source': 'P0010', 'global_optimum_proven': False}
CHECKPOINT P0011 PATTERN_JOINT_MILP 106.256076101 {'J_late': 0.0, 'J_norm': np.float64(0.49148245937317864), 'makespan': 6893.4894208244805, 'energy': 66.19169301226313, 'sorties': 24, 'source': 'P0011', 'global_optimum_proven': False}
SOLVED R0010 {'J_late': 0.0, 'J_norm': np.float64(0.49148245937317864), 'makespan': 6893.4894208244805, 'energy': 66.19169301226313, 'sorties': 24, 'source': 'P0011', 'global_optimum_proven': False}
CHECKPOINT P0012 PATTERN_JOINT_MILP 113.007378108 {'J_late': 0.0, 'J_norm': np.float64(0.5768795849866535), 'makespan': 9018.939151253757, 'energy': 60.427271642314416, 'sorties': 20, 'source': 'P0012', 'global_optimum_proven': False}
SOLVED R0011 {'J_late': 0.0, 'J_norm': np.float64(0.5768795849866535), 'makespan': 9018.939151253757, 'energy': 60.427271642314416, 'sorties': 20, 'source': 'P0012', 'global_optimum_proven': False}
CHECKPOINT P0013 PATTERN_JOINT_MILP 135.046906278 {'J_late': np.float64(106814.73733179865), 'J_norm': np.float64(0.5537398039194754), 'makespan': 9352.865338845098, 'energy': 68.22231154478867, 'sorties': 25, 'source': 'P0013', 'global_optimum_proven': False}
SOLVED R0012 {'J_late': np.float64(106814.73733179865), 'J_norm': np.float64(0.5537398039194754), 'makespan': 9352.865338845098, 'energy': 68.22231154478867, 'sorties': 25, 'source': 'P0013', 'global_optimum_proven': False}
CHECKPOINT P0014 PATTERN_JOINT_MILP 144.7508236 {'J_late': 0.0, 'J_norm': np.float64(0.47707963680988624), 'makespan': 6396.934739044012, 'energy': 67.3896197830287, 'sorties': 25, 'source': 'P0014', 'global_optimum_proven': False}
SOLVED R0013 {'J_late': 0.0, 'J_norm': np.float64(0.47707963680988624), 'makespan': 6396.934739044012, 'energy': 67.3896197830287, 'sorties': 25, 'source': 'P0014', 'global_optimum_proven': False}
CHECKPOINT P0015 PATTERN_JOINT_MILP 149.02778988 {'J_late': 0.0, 'J_norm': np.float64(0.49148245937317864), 'makespan': 6893.4894208244805, 'energy': 66.19169301226313, 'sorties': 24, 'source': 'P0015', 'global_optimum_proven': False}
SOLVED R0014 {'J_late': 0.0, 'J_norm': np.float64(0.49148245937317864), 'makespan': 6893.4894208244805, 'energy': 66.19169301226313, 'sorties': 24, 'source': 'P0015', 'global_optimum_proven': False}
CHECKPOINT P0016 PATTERN_JOINT_MILP 155.394515299 {'J_late': 0.0, 'J_norm': np.float64(0.5768795849866535), 'makespan': 9018.939151253757, 'energy': 60.427271642314416, 'sorties': 20, 'source': 'P0016', 'global_optimum_proven': False}
SOLVED R0015 {'J_late': 0.0, 'J_norm': np.float64(0.5768795849866535), 'makespan': 9018.939151253757, 'energy': 60.427271642314416, 'sorties': 20, 'source': 'P0016', 'global_optimum_proven': False}
CHECKPOINT P0017 PATTERN_JOINT_MILP 177.266415542 {'J_late': np.float64(106814.73733179865), 'J_norm': np.float64(0.5537398039194754), 'makespan': 9352.865338845098, 'energy': 68.22231154478867, 'sorties': 25, 'source': 'P0017', 'global_optimum_proven': False}
SOLVED R0016 {'J_late': np.float64(106814.73733179865), 'J_norm': np.float64(0.5537398039194754), 'makespan': 9352.865338845098, 'energy': 68.22231154478867, 'sorties': 25, 'source': 'P0017', 'global_optimum_proven': False}
NO_WITNESS R0017 {'pid': 'R0017', 'status': 1, 'message': 'Time limit reached. (HiGHS Status 13: model_status is Time limit reached; primal_status is None)', 'wall_s': 2.1313705499999855, 'time_limit_s': 14, 'horizon_s': 6600, 'start_grid_s': 120, 'zero_lateness': True, 'single_stop_only': True, 'patterns_available': 2728, 'variables': 9848, 'geometry': 'G2_UTM49N_STRAIGHT_NATIVE_SUPERCOVER_V1', 'global_optimum_proven': False, 'incumbent_continuous_schedule_not_guaranteed_in_grid_domain': False}
